rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity,log_history,label
0,0,0,0.0,0.0,1.8841194450855254,6.580557347947093,,Base
8,16,1843200,3.6443431893984477,5.74973184,1.5573081970214844,4.746028661218095,"[{'loss': 1.616628074645996, 'grad_norm': 0.31803667545318604, 'learning_rate': 0.00011428571428571428, 'epoch': 0.2222222222222222, 'step': 5}, {'loss': 1.5918420791625976, 'grad_norm': 0.3158879578113556, 'learning_rate': 0.00019948693233918952, 'epoch': 0.4444444444444444, 'step': 10}, {'loss': 1.6330961227416991, 'grad_norm': 0.28785181045532227, 'learning_rate': 0.00019377521321470805, 'epoch': 0.6666666666666666, 'step': 15}, {'loss': 1.5810649871826172, 'grad_norm': 0.33727458119392395, 'learning_rate': 0.00018207634412072764, 'epoch': 0.8888888888888888, 'step': 20}, {'loss': 1.5124947547912597, 'grad_norm': 0.2789120376110077, 'learning_rate': 0.00016513724827222227, 'epoch': 1.0888888888888888, 'step': 25}, {'loss': 1.451506996154785, 'grad_norm': 0.38335198163986206, 'learning_rate': 0.00014403941515576344, 'epoch': 1.3111111111111111, 'step': 30}, {'loss': 1.5320982933044434, 'grad_norm': 0.25512033700942993, 'learning_rate': 0.00012012985200886602, 'epoch': 1.5333333333333332, 'step': 35}, {'loss': 1.5162334442138672, 'grad_norm': 0.2649894654750824, 'learning_rate': 9.493508311612874e-05, 'epoch': 1.7555555555555555, 'step': 40}, {'loss': 1.4170662879943847, 'grad_norm': 0.3607611358165741, 'learning_rate': 7.006368770266421e-05, 'epoch': 1.9777777777777779, 'step': 45}, {'loss': 1.4409151077270508, 'grad_norm': 0.336154580116272, 'learning_rate': 4.710359896730379e-05, 'epoch': 2.1777777777777776, 'step': 50}, {'loss': 1.4640480995178222, 'grad_norm': 0.29509150981903076, 'learning_rate': 2.7520721277088024e-05, 'epoch': 2.4, 'step': 55}, {'loss': 1.4578160285949706, 'grad_norm': 0.46810150146484375, 'learning_rate': 1.2565338385541792e-05, 'epoch': 2.6222222222222222, 'step': 60}, {'loss': 1.4385469436645508, 'grad_norm': 0.3579816222190857, 'learning_rate': 3.1922881133795825e-06, 'epoch': 2.8444444444444446, 'step': 65}, {'train_runtime': 215.9399, 'train_samples_per_second': 2.501, 'train_steps_per_second': 0.32, 'total_flos': 2193083139686400.0, 'train_loss': 1.5044815989508145, 'epoch': 3.0, 'step': 69}, {'eval_loss': 1.5573081970214844, 'eval_runtime': 3.8235, 'eval_samples_per_second': 5.231, 'eval_steps_per_second': 5.231, 'epoch': 3.0, 'step': 69}]",r=8
16,32,3686400,3.7234525720278424,5.148050944,1.5161957740783691,4.554864460550777,,r=16
64,128,14745600,3.3966227054595945,6.533845504,1.477380394935608,4.381452957935326,"[{'loss': 1.6016410827636718, 'grad_norm': 0.9499419331550598, 'learning_rate': 0.00011428571428571428, 'epoch': 0.2222222222222222, 'step': 5}, {'loss': 1.5228689193725586, 'grad_norm': 0.5763393640518188, 'learning_rate': 0.00019948693233918952, 'epoch': 0.4444444444444444, 'step': 10}, {'loss': 1.5461087226867676, 'grad_norm': 0.5097070336341858, 'learning_rate': 0.00019377521321470805, 'epoch': 0.6666666666666666, 'step': 15}, {'loss': 1.5029293060302735, 'grad_norm': 0.5289741158485413, 'learning_rate': 0.00018207634412072764, 'epoch': 0.8888888888888888, 'step': 20}, {'loss': 1.4259936332702636, 'grad_norm': 0.412415474653244, 'learning_rate': 0.00016513724827222227, 'epoch': 1.0888888888888888, 'step': 25}, {'loss': 1.3461649894714356, 'grad_norm': 0.4532303810119629, 'learning_rate': 0.00014403941515576344, 'epoch': 1.3111111111111111, 'step': 30}, {'loss': 1.4028409957885741, 'grad_norm': 0.4034920632839203, 'learning_rate': 0.00012012985200886602, 'epoch': 1.5333333333333332, 'step': 35}, {'loss': 1.3812724113464356, 'grad_norm': 0.4472354054450989, 'learning_rate': 9.493508311612874e-05, 'epoch': 1.7555555555555555, 'step': 40}, {'loss': 1.297435188293457, 'grad_norm': 0.5322349071502686, 'learning_rate': 7.006368770266421e-05, 'epoch': 1.9777777777777779, 'step': 45}, {'loss': 1.2697575569152832, 'grad_norm': 0.45627573132514954, 'learning_rate': 4.710359896730379e-05, 'epoch': 2.1777777777777776, 'step': 50}, {'loss': 1.3231489181518554, 'grad_norm': 0.4219839870929718, 'learning_rate': 2.7520721277088024e-05, 'epoch': 2.4, 'step': 55}, {'loss': 1.307581329345703, 'grad_norm': 0.6241196393966675, 'learning_rate': 1.2565338385541792e-05, 'epoch': 2.6222222222222222, 'step': 60}, {'loss': 1.2763081550598145, 'grad_norm': 0.5249731540679932, 'learning_rate': 3.1922881133795825e-06, 'epoch': 2.8444444444444446, 'step': 65}, {'train_runtime': 201.0456, 'train_samples_per_second': 2.686, 'train_steps_per_second': 0.343, 'total_flos': 2203273971302400.0, 'train_loss': 1.3916272425997085, 'epoch': 3.0, 'step': 69}, {'eval_loss': 1.477380394935608, 'eval_runtime': 3.9358, 'eval_samples_per_second': 5.082, 'eval_steps_per_second': 5.082, 'epoch': 3.0, 'step': 69}]",r=64
